feature,target,pearson_r,n
company_neg_per_1000,ar10d,-0.004480363273718032,20
company_sent_ratio_mean,ar10d,-0.060258634439565285,20
company_unc_per_1000,ar10d,-0.14184227282833056,20
external_neg_per_1000,ar10d,0.3095192354469135,20
external_unc_per_1000,ar10d,0.3153445028487563,20
finbert_neg_mean,ar10d,-0.23858233148516103,20
finbert_neu_mean,ar10d,0.0473013741093264,20
finbert_pos_mean,ar10d,-0.03192652392418463,20
neg_per_1000,ar10d,0.03818436589655291,20
unc_per_1000,ar10d,-0.11316224888941978,20
company_neg_per_1000,ar1d,-0.1220547685670585,21
company_sent_ratio_mean,ar1d,0.11090427535253247,21
company_unc_per_1000,ar1d,0.11040288179694288,21
external_neg_per_1000,ar1d,-0.20964949769030386,21
external_unc_per_1000,ar1d,0.090494557577339,21
finbert_neg_mean,ar1d,0.13730630860630927,21
finbert_neu_mean,ar1d,-0.09458168098106597,21
finbert_pos_mean,ar1d,0.08660053080585457,21
neg_per_1000,ar1d,-0.1311849024890531,21
unc_per_1000,ar1d,0.10296769850460176,21
company_neg_per_1000,ar20d,-0.0326728713125993,20
company_sent_ratio_mean,ar20d,-0.06384883068227297,20
company_unc_per_1000,ar20d,-0.12427989496016552,20
external_neg_per_1000,ar20d,0.36502983957088053,20
external_unc_per_1000,ar20d,0.3061439175200666,20
finbert_neg_mean,ar20d,-0.30188609473746775,20
finbert_neu_mean,ar20d,-0.062213174804209036,20
finbert_pos_mean,ar20d,0.08375760346861925,20
neg_per_1000,ar20d,0.013658431398696448,20
unc_per_1000,ar20d,-0.09112288416814432,20
company_neg_per_1000,ar3d,-0.21711840355080364,21
company_sent_ratio_mean,ar3d,-0.1473353383262683,21
company_unc_per_1000,ar3d,0.0036720715730378163,21
external_neg_per_1000,ar3d,-0.06589342892471149,21
external_unc_per_1000,ar3d,0.2126920091686208,21
finbert_neg_mean,ar3d,-0.05377512595594563,21
finbert_neu_mean,ar3d,-0.05582567829165348,21
finbert_pos_mean,ar3d,0.060381654161988256,21
neg_per_1000,ar3d,-0.19789997596200748,21
unc_per_1000,ar3d,0.04948051132364071,21
company_neg_per_1000,ar5d,-0.30690431149664626,21
company_sent_ratio_mean,ar5d,-0.2865389194376719,21
company_unc_per_1000,ar5d,0.08381970491709562,21
external_neg_per_1000,ar5d,0.002123944022836268,21
external_unc_per_1000,ar5d,0.329727778954319,21
finbert_neg_mean,ar5d,-0.11067667806515712,21
finbert_neu_mean,ar5d,0.04330681775471066,21
finbert_pos_mean,ar5d,-0.036366170586711294,21
neg_per_1000,ar5d,-0.27204527439840603,21
unc_per_1000,ar5d,0.1353129613562666,21
company_neg_per_1000,r10d,0.25996829399273985,20
company_sent_ratio_mean,r10d,-0.13897238901459308,20
company_unc_per_1000,r10d,-0.31907075369916804,20
external_neg_per_1000,r10d,0.5395396761085938,20
external_unc_per_1000,r10d,0.49794356526458516,20
finbert_neg_mean,r10d,-0.27026814247802833,20
finbert_neu_mean,r10d,0.38834138553409,20
finbert_pos_mean,r10d,-0.37665659517144173,20
neg_per_1000,r10d,0.3071337639434499,20
unc_per_1000,r10d,-0.33021948737414536,20
company_neg_per_1000,r1d,-0.06212029126105282,21
company_sent_ratio_mean,r1d,0.05884614385112065,21
company_unc_per_1000,r1d,0.029005484188815007,21
external_neg_per_1000,r1d,-0.1019484054952312,21
external_unc_per_1000,r1d,0.004809834258572929,21
finbert_neg_mean,r1d,0.12790237766694196,21
finbert_neu_mean,r1d,-0.03308992740691726,21
finbert_pos_mean,r1d,0.024808334854710186,21
neg_per_1000,r1d,-0.06993139854559514,21
unc_per_1000,r1d,0.02376824734274973,21
company_neg_per_1000,r20d,0.10353710849617984,20
company_sent_ratio_mean,r20d,-0.23063143388810356,20
company_unc_per_1000,r20d,-0.20869251075941594,20
external_neg_per_1000,r20d,0.5328286167992321,20
external_unc_per_1000,r20d,0.563596905187147,20
finbert_neg_mean,r20d,-0.314900332543367,20
finbert_neu_mean,r20d,0.17851961785907652,20
finbert_pos_mean,r20d,-0.16021432515468356,20
neg_per_1000,r20d,0.1610446034601862,20
unc_per_1000,r20d,-0.20094963244212333,20
company_neg_per_1000,r3d,-0.11818149752254323,21
company_sent_ratio_mean,r3d,-0.14259284034911857,21
company_unc_per_1000,r3d,-0.0347012521799957,21
external_neg_per_1000,r3d,-0.03003083082999703,21
external_unc_per_1000,r3d,0.08126107004344565,21
finbert_neg_mean,r3d,-0.04975712464415053,21
finbert_neu_mean,r3d,0.16321515711168658,21
finbert_pos_mean,r3d,-0.16230786860073704,21
neg_per_1000,r3d,-0.10802423616376937,21
unc_per_1000,r3d,-0.021250200295279485,21
company_neg_per_1000,r5d,-0.14471908112251955,21
company_sent_ratio_mean,r5d,-0.2836332920118179,21
company_unc_per_1000,r5d,0.002482021302532235,21
external_neg_per_1000,r5d,0.13676502829294712,21
external_unc_per_1000,r5d,0.34722413220743986,21
finbert_neg_mean,r5d,-0.08366385341575308,21
finbert_neu_mean,r5d,0.25444146183067884,21
finbert_pos_mean,r5d,-0.25260828267629604,21
neg_per_1000,r5d,-0.10723778224683354,21
unc_per_1000,r5d,0.016610564001196506,21
company_neg_per_1000,vol20d,-0.17266022475165926,20
company_sent_ratio_mean,vol20d,-0.30900349754985135,20
company_unc_per_1000,vol20d,0.03402543363808299,20
external_neg_per_1000,vol20d,-0.087439297085022,20
external_unc_per_1000,vol20d,0.12403728009763654,20
finbert_neg_mean,vol20d,-0.38966940275179307,20
finbert_neu_mean,vol20d,0.2400744180134173,20
finbert_pos_mean,vol20d,-0.21775109554859814,20
neg_per_1000,vol20d,-0.17635627294372236,20
unc_per_1000,vol20d,0.03948274785580795,20
company_neg_per_1000,vol5d,-0.4222921313986051,21
company_sent_ratio_mean,vol5d,-0.4845121679461486,21
company_unc_per_1000,vol5d,0.16958050639134728,21
external_neg_per_1000,vol5d,-0.03020721692836008,21
external_unc_per_1000,vol5d,0.2980389197924713,21
finbert_neg_mean,vol5d,-0.4077280444700865,21
finbert_neu_mean,vol5d,0.23554851072663738,21
finbert_pos_mean,vol5d,-0.21115009534192367,21
neg_per_1000,vol5d,-0.3891753977413093,21
unc_per_1000,vol5d,0.20688730055414933,21
