feature,target,top_minus_bottom_mean,n_low,n_high
company_neg_per_1000,ar3d,-0.015357292344496846,6,5
company_neg_per_1000,ar5d,-0.04466307171469838,6,5
company_neg_per_1000,vol20d,-0.0015364299790302464,5,4
company_unc_per_1000,ar3d,0.009291149343377969,5,7
company_unc_per_1000,ar5d,0.015166114225515961,5,7
company_unc_per_1000,vol20d,0.0016475317632012754,4,4
neg_per_1000,ar3d,-0.010063476233347841,5,5
neg_per_1000,ar5d,-0.014471102673247064,5,5
neg_per_1000,vol20d,-0.004358075944582001,5,4
external_neg_per_1000,ar3d,-0.00940641091470773,10,5
external_neg_per_1000,ar5d,-0.01029529577194781,10,5
external_neg_per_1000,vol20d,-0.0022216460268985327,10,4
