ticker,company_title,cik,form,filing_date,accession,neg_cnt,unc_cnt,n_tokens,neg_per_1000,unc_per_1000,n_paras,company_tokens,company_neg_cnt,company_unc_cnt,company_neg_per_1000,company_unc_per_1000,external_tokens,external_neg_cnt,external_unc_cnt,external_neg_per_1000,external_unc_per_1000,company_sent_ratio_mean,finbert_neg_mean,finbert_neu_mean,finbert_pos_mean
AAPL,Apple Inc.,0000320193,10-Q,2025-08-01,000032019325000073,2,6,145,13.793103448275861,41.37931034482759,1,122,1,4,8.19672131147541,32.78688524590164,17,1,1,58.8235294117647,58.8235294117647,0.4,0.018479976803064346,0.11968265473842621,0.8618373870849609
AAPL,Apple Inc.,0000320193,10-Q,2025-05-02,000032019325000057,93,38,1738,53.50978135788262,21.86421173762946,1,1469,80,31,54.45881552076242,21.102791014295438,262,13,6,49.61832061068702,22.900763358778626,0.6666666666666666,0.018011702224612236,0.19281254708766937,0.7891756892204285
AAPL,Apple Inc.,0000320193,10-Q,2025-01-31,000032019325000008,68,24,1291,52.672347017815646,18.590240123934933,1,1184,60,22,50.67567567567568,18.58108108108108,98,6,1,61.224489795918366,10.204081632653061,0.7948717948717948,0.019819404929876328,0.15673305094242096,0.8234475255012512
AAPL,Apple Inc.,0000320193,10-K,2024-11-01,000032019324000123,464,247,9752,47.579983593109105,25.328137817883512,1,8659,398,215,45.96373715209609,24.82965700427301,1058,65,28,61.43667296786389,26.465028355387524,0.7988505747126436,0.020463574677705765,0.13750313222408295,0.842033326625824
AAPL,Apple Inc.,0000320193,10-Q,2024-08-02,000032019324000081,2,6,137,14.598540145985401,43.7956204379562,1,116,1,4,8.620689655172415,34.48275862068966,16,1,1,62.5,62.5,0.4,0.017305683344602585,0.12468066066503525,0.8580136299133301
AAPL,Apple Inc.,0000320193,10-Q,2024-05-03,000032019324000069,44,14,672,65.47619047619048,20.833333333333332,1,631,39,13,61.806656101426306,20.602218700475436,34,4,0,117.6470588235294,0.0,0.8260869565217391,0.03035937063395977,0.07437513023614883,0.8952654600143433
AAPL,Apple Inc.,0000320193,10-Q,2024-02-02,000032019324000006,36,14,645,55.81395348837209,21.705426356589147,1,623,36,13,57.78491171749599,20.86677367576244,17,0,0,0.0,0.0,0.8571428571428571,0.03035937063395977,0.07437513023614883,0.8952654600143433
AAPL,Apple Inc.,0000320193,10-K,2023-11-03,000032019323000106,454,255,9630,47.14434060228453,26.4797507788162,1,8623,401,224,46.503537052070044,25.97703815377479,976,53,27,54.30327868852459,27.66393442622951,0.8123167155425219,0.020463574677705765,0.13750313222408295,0.842033326625824
AAPL,Apple Inc.,0000320193,10-Q,2023-08-04,000032019323000077,1,5,89,11.235955056179776,56.17977528089887,1,83,1,4,12.048192771084338,48.19277108433735,1,0,0,0.0,0.0,0.6666666666666666,0.02145344763994217,0.08902043104171753,0.8895260691642761
AAPL,Apple Inc.,0000320193,10-Q,2023-05-05,000032019323000064,1,5,86,11.627906976744185,58.13953488372093,1,83,1,4,12.048192771084338,48.19277108433735,0,0,0,0.0,0.0,1.0,0.02057288959622383,0.10825910419225693,0.8711679577827454
AAPL,Apple Inc.,0000320193,10-Q,2023-02-03,000032019323000006,1,5,86,11.627906976744185,58.13953488372093,1,83,1,4,12.048192771084338,48.19277108433735,0,0,0,0.0,0.0,1.0,0.02057288959622383,0.10825910419225693,0.8711679577827454
AAPL,Apple Inc.,0000320193,10-K,2022-10-28,000032019322000108,475,274,10046,47.28250049771053,27.274537129205655,1,8956,421,242,47.007592675301474,27.02099151406878,1055,54,28,51.18483412322275,26.540284360189574,0.8093922651933702,0.020463574677705765,0.13750313222408295,0.842033326625824
AAPL,Apple Inc.,0000320193,10-Q,2022-07-29,000032019322000070,1,5,100,10.0,50.0,1,97,1,4,10.309278350515465,41.23711340206186,0,0,0,0.0,0.0,1.0,0.021394450217485428,0.1173788532614708,0.8612266778945923
AAPL,Apple Inc.,0000320193,10-Q,2022-04-29,000032019322000059,1,5,103,9.70873786407767,48.54368932038835,1,97,1,4,10.309278350515465,41.23711340206186,1,0,0,0.0,0.0,0.6666666666666666,0.020470207557082176,0.13201242685317993,0.8475173711776733
AAPL,Apple Inc.,0000320193,10-Q,2022-01-28,000032019322000007,1,5,103,9.70873786407767,48.54368932038835,1,97,1,4,10.309278350515465,41.23711340206186,1,0,0,0.0,0.0,0.6666666666666666,0.02054297737777233,0.13157694041728973,0.8478800654411316
AAPL,Apple Inc.,0000320193,10-K,2021-10-29,000032019321000105,445,255,9495,46.8667719852554,26.856240126382307,1,8448,394,226,46.63825757575758,26.751893939393938,1014,51,25,50.29585798816568,24.65483234714004,0.808695652173913,0.0192248672246933,0.1587449312210083,0.822030246257782
