feature,target,pearson_r,n
company_neg_per_1000,ar10d,-0.19120660509016316,7
company_sent_ratio_mean,ar10d,-0.0029706487960571813,7
company_unc_per_1000,ar10d,-0.28680530918536434,7
external_neg_per_1000,ar10d,-0.38118167370909056,7
external_unc_per_1000,ar10d,0.20358793601400552,7
finbert_neg_mean,ar10d,-0.08884560678071036,7
finbert_neu_mean,ar10d,0.0888456067807103,7
finbert_pos_mean,ar10d,-0.08884560678071031,7
neg_per_1000,ar10d,-0.3063753075930851,7
unc_per_1000,ar10d,-0.24983736528349165,7
company_neg_per_1000,ar1d,-0.5750492084879184,7
company_sent_ratio_mean,ar1d,-0.2740840125420765,7
company_unc_per_1000,ar1d,-0.6215233999893394,7
external_neg_per_1000,ar1d,-0.336035262396617,7
external_unc_per_1000,ar1d,0.5483212328891232,7
finbert_neg_mean,ar1d,-0.3034215744237595,7
finbert_neu_mean,ar1d,0.30342157442375944,7
finbert_pos_mean,ar1d,-0.3034215744237594,7
neg_per_1000,ar1d,-0.620760173601178,7
unc_per_1000,ar1d,-0.5062379270365407,7
company_neg_per_1000,ar20d,-0.449038271929431,6
company_sent_ratio_mean,ar20d,-0.12125549848282308,6
company_unc_per_1000,ar20d,-0.3571704140017383,6
external_neg_per_1000,ar20d,-0.2857836664613767,6
external_unc_per_1000,ar20d,0.40429650714882776,6
finbert_neg_mean,ar20d,-0.13468541401868914,6
finbert_neu_mean,ar20d,0.13468541401868914,6
finbert_pos_mean,ar20d,-0.13468541401868916,6
neg_per_1000,ar20d,-0.5299229142442267,6
unc_per_1000,ar20d,-0.19878010929647238,6
company_neg_per_1000,ar3d,-0.39720207837831084,7
company_sent_ratio_mean,ar3d,0.08248787057139051,7
company_unc_per_1000,ar3d,-0.5151143239691062,7
external_neg_per_1000,ar3d,-0.22627911144743879,7
external_unc_per_1000,ar3d,0.5134841231556939,7
finbert_neg_mean,ar3d,0.021862075498891166,7
finbert_neu_mean,ar3d,-0.0218620754988912,7
finbert_pos_mean,ar3d,0.02186207549889116,7
neg_per_1000,ar3d,-0.4547380953619319,7
unc_per_1000,ar3d,-0.41081745470781283,7
company_neg_per_1000,ar5d,-0.189746388909278,7
company_sent_ratio_mean,ar5d,-0.0559566416087611,7
company_unc_per_1000,ar5d,-0.3804484762494973,7
external_neg_per_1000,ar5d,-0.376720308431505,7
external_unc_per_1000,ar5d,0.2637105087662415,7
finbert_neg_mean,ar5d,-0.14841442254083634,7
finbert_neu_mean,ar5d,0.14841442254083625,7
finbert_pos_mean,ar5d,-0.14841442254083634,7
neg_per_1000,ar5d,-0.2916610167238086,7
unc_per_1000,ar5d,-0.3394401628032495,7
company_neg_per_1000,r10d,-0.2708019891211191,7
company_sent_ratio_mean,r10d,-0.2805920961064925,7
company_unc_per_1000,r10d,-0.35484712179328975,7
external_neg_per_1000,r10d,-0.45752985869990287,7
external_unc_per_1000,r10d,0.23434036264973243,7
finbert_neg_mean,r10d,-0.35419296342768475,7
finbert_neu_mean,r10d,0.3541929634276847,7
finbert_pos_mean,r10d,-0.3541929634276847,7
neg_per_1000,r10d,-0.37000004297434247,7
unc_per_1000,r10d,-0.2948330505587856,7
company_neg_per_1000,r1d,-0.5144755513290252,7
company_sent_ratio_mean,r1d,-0.24924239596353603,7
company_unc_per_1000,r1d,-0.39932504860658335,7
external_neg_per_1000,r1d,-0.12094638082117859,7
external_unc_per_1000,r1d,0.46158714483417024,7
finbert_neg_mean,r1d,-0.26597684754545287,7
finbert_neu_mean,r1d,0.26597684754545287,7
finbert_pos_mean,r1d,-0.26597684754545287,7
neg_per_1000,r1d,-0.4819984763352284,7
unc_per_1000,r1d,-0.25801985749819584,7
company_neg_per_1000,r20d,-0.22247255323108192,6
company_sent_ratio_mean,r20d,-0.4882008155306149,6
company_unc_per_1000,r20d,-0.14286214317917711,6
external_neg_per_1000,r20d,-0.3483522990492778,6
external_unc_per_1000,r20d,0.1353564743988716,6
finbert_neg_mean,r20d,-0.48185378831867454,6
finbert_neu_mean,r20d,0.48185378831867454,6
finbert_pos_mean,r20d,-0.48185378831867437,6
neg_per_1000,r20d,-0.2698087535209024,6
unc_per_1000,r20d,-0.015179207376790798,6
company_neg_per_1000,r3d,-0.7184896880015692,7
company_sent_ratio_mean,r3d,0.2105655616916928,7
company_unc_per_1000,r3d,-0.5247599875882601,7
external_neg_per_1000,r3d,0.2528511093885816,7
external_unc_per_1000,r3d,0.8202766674953048,7
finbert_neg_mean,r3d,0.21927535114851163,7
finbert_neu_mean,r3d,-0.2192753511485116,7
finbert_pos_mean,r3d,0.21927535114851163,7
neg_per_1000,r3d,-0.5989834032639103,7
unc_per_1000,r3d,-0.29763076174824854,7
company_neg_per_1000,r5d,-0.310605996257251,7
company_sent_ratio_mean,r5d,-0.10809008243418315,7
company_unc_per_1000,r5d,-0.31346436260086935,7
external_neg_per_1000,r5d,-0.01692787996779788,7
external_unc_per_1000,r5d,0.37998126490805445,7
finbert_neg_mean,r5d,-0.15828009934185025,7
finbert_neu_mean,r5d,0.1582800993418502,7
finbert_pos_mean,r5d,-0.15828009934185022,7
neg_per_1000,r5d,-0.25963829172842423,7
unc_per_1000,r5d,-0.19772030976158195,7
company_neg_per_1000,vol20d,-0.4388039903445618,6
company_sent_ratio_mean,vol20d,-0.09141811566107999,6
company_unc_per_1000,vol20d,-0.28746822122598314,6
external_neg_per_1000,vol20d,-0.07288919820148203,6
external_unc_per_1000,vol20d,0.48631943007197875,6
finbert_neg_mean,vol20d,-0.10354681522393058,6
finbert_neu_mean,vol20d,0.10354681522393056,6
finbert_pos_mean,vol20d,-0.10354681522393061,6
neg_per_1000,vol20d,-0.43120325793546255,6
unc_per_1000,vol20d,-0.03669379146059839,6
company_neg_per_1000,vol5d,0.3381154276395953,7
company_sent_ratio_mean,vol5d,-0.4650234745444383,7
company_unc_per_1000,vol5d,0.125024674047666,7
external_neg_per_1000,vol5d,-0.4653325885358778,7
external_unc_per_1000,vol5d,-0.3364968067080361,7
finbert_neg_mean,vol5d,-0.5089174385364413,7
finbert_neu_mean,vol5d,0.5089174385364414,7
finbert_pos_mean,vol5d,-0.5089174385364413,7
neg_per_1000,vol5d,0.22033229551387656,7
unc_per_1000,vol5d,0.07613356474407963,7
