feature,target,pearson_r,n
company_neg_per_1000,ar10d,-0.13438685955196567,11
company_sent_ratio_mean,ar10d,-0.5899977300630912,11
company_unc_per_1000,ar10d,0.005869945814999315,11
external_neg_per_1000,ar10d,-0.14914263274009806,11
external_unc_per_1000,ar10d,-0.2894680690813552,11
finbert_neg_mean,ar10d,-0.28459427705594376,11
finbert_neu_mean,ar10d,-0.31838268250773527,11
finbert_pos_mean,ar10d,0.36173365423209697,11
neg_per_1000,ar10d,-0.17759094800074385,11
unc_per_1000,ar10d,-0.04870972618033543,11
company_neg_per_1000,ar1d,-0.5090518035115608,11
company_sent_ratio_mean,ar1d,-0.1599347745842986,11
company_unc_per_1000,ar1d,0.46061307326049916,11
external_neg_per_1000,ar1d,0.11847092867934596,11
external_unc_per_1000,ar1d,-0.008881438959137183,11
finbert_neg_mean,ar1d,-0.1667703206544228,11
finbert_neu_mean,ar1d,-0.011123613796612164,11
finbert_pos_mean,ar1d,0.031260368495527706,11
neg_per_1000,ar1d,-0.5141507260557905,11
unc_per_1000,ar1d,0.36121860154102137,11
company_neg_per_1000,ar20d,-0.2394795077329052,11
company_sent_ratio_mean,ar20d,-0.61279393617649,11
company_unc_per_1000,ar20d,0.04330794968104462,11
external_neg_per_1000,ar20d,0.1005557847634176,11
external_unc_per_1000,ar20d,-0.017625329361069496,11
finbert_neg_mean,ar20d,0.0412557342541471,11
finbert_neu_mean,ar20d,-0.5824777193877558,11
finbert_pos_mean,ar20d,0.5950640580909016,11
neg_per_1000,ar20d,-0.19199635212838406,11
unc_per_1000,ar20d,0.045824072704480495,11
company_neg_per_1000,ar3d,-0.40187062573086796,11
company_sent_ratio_mean,ar3d,-0.2448595484428372,11
company_unc_per_1000,ar3d,0.45455606214908334,11
external_neg_per_1000,ar3d,0.08824487697724298,11
external_unc_per_1000,ar3d,0.0068647090556614755,11
finbert_neg_mean,ar3d,0.006312908973642511,11
finbert_neu_mean,ar3d,-0.1162764216644072,11
finbert_pos_mean,ar3d,0.11901727516867011,11
