feature,target,top_minus_bottom_mean,n_low,n_high
company_neg_per_1000,ar3d,-0.045115272716316296,3,3
company_neg_per_1000,ar5d,-0.04718964621739387,3,3
company_neg_per_1000,vol20d,0.008963678022826835,3,3
company_unc_per_1000,ar3d,0.03838252875620023,3,3
company_unc_per_1000,ar5d,0.0389715306370675,3,3
company_unc_per_1000,vol20d,-0.004180204868762565,3,3
neg_per_1000,ar3d,-0.015451271689031069,3,3
neg_per_1000,ar5d,-0.013450011855251135,3,3
neg_per_1000,vol20d,0.009522455167071864,3,3
external_neg_per_1000,ar3d,-0.003500657123277233,3,3
external_neg_per_1000,ar5d,-0.014490193062886235,3,3
external_neg_per_1000,vol20d,0.007827325806365169,3,3
