ticker,company_title,cik,form,filing_date,accession,para_idx,para_text,neg_cnt,unc_cnt,n_tokens,neg_per_1000,unc_per_1000,company_tokens,company_neg_cnt,company_unc_cnt,company_neg_per_1000,company_unc_per_1000,external_tokens,external_neg_cnt,external_unc_cnt,external_neg_per_1000,external_unc_per_1000,company_sent_ratio,external_sent_ratio,finbert_neg,finbert_neu,finbert_pos
MSFT,MICROSOFT CORP,0000789019,10-Q,2023-01-24,000156459023000733,1,"Our operations and financial results are subject to various risks and uncertainties, including those described below, that could adversely affect our business, financial condition, results of operations, cash flows, and the trading price of our common stock.",1,3,37,27.027027027027028,81.08108108108108,37,1,3,27.027027027027028,81.08108108108108,0,0,0,0.0,0.0,1.0,0.0,0.021197810769081116,0.49855199456214905,0.48025017976760864
MSFT,MICROSOFT CORP,0000789019,10-Q,2023-01-24,000156459023000733,2,"We face intense competition across all markets for our products and services, which may lead to lower revenue or operating margins.",0,1,21,0.0,47.61904761904762,21,0,1,0.0,47.61904761904762,0,0,0,0.0,0.0,1.0,0.0,0.011374497786164284,0.9649162888526917,0.023709231987595558
MSFT,MICROSOFT CORP,0000789019,10-Q,2023-01-24,000156459023000733,3,Competition in the technology sector,0,0,5,0.0,0.0,0,0,0,0.0,0.0,5,0,0,0.0,0.0,0.0,0.0,0.13126273453235626,0.0308957751840353,0.8378415107727051
MSFT,MICROSOFT CORP,0000789019,10-Q,2023-01-24,000156459023000733,4,"Our competitors range in size from diversified global companies with significant research and development resources to small, specialized firms whose narrower product lines may let them be more effective in deploying technical, marketing, and financial resources. Barriers to entry in many of our businesses are low and many of the areas in which we compete evolve rapidly with changing and disruptive technologies, shifting user needs, and frequent introductions of new products and services. Our ability to remain competitive depends on our success in making innovative products, devices, and services that appeal to businesses and consumers.",2,2,95,21.05263157894737,21.05263157894737,95,2,2,21.05263157894737,21.05263157894737,0,0,0,0.0,0.0,1.0,0.0,0.2381293624639511,0.01148747093975544,0.750383198261261
MSFT,MICROSOFT CORP,0000789019,10-Q,2023-01-24,000156459023000733,5,"An important element of our business model has been to create platform-based ecosystems on which many participants can build diverse solutions. A well-established ecosystem creates beneficial network effects among users, application developers, and the platform provider that can accelerate growth. Establishing significant scale in the marketplace is necessary to achieve and maintain attractive margins. We face significant competition from firms that provide competing platforms.",0,0,63,0.0,0.0,31,0,0,0.0,0.0,32,0,0,0.0,0.0,0.5,0.25,0.5450028777122498,0.02744387835264206,0.42755326628685
MSFT,MICROSOFT CORP,0000789019,10-Q,2023-01-24,000156459023000733,6,Companies compete with us based on a growing variety of business models.,0,0,11,0.0,0.0,11,0,0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,0.25240153074264526,0.008392219431698322,0.7392062544822693
MSFT,MICROSOFT CORP,0000789019,10-Q,2023-01-24,000156459023000733,7,"The competitive pressures described above may cause decreased sales volumes, price reductions, and/or increased operating costs, such as for research and development, marketing, and sales incentives. This may lead to lower revenue, gross margins, and operating income.",0,2,38,0.0,52.63157894736842,0,0,0,0.0,0.0,38,0,2,0.0,52.63157894736842,0.0,0.0,0.00909449253231287,0.9611247181892395,0.029780764132738113
MSFT,MICROSOFT CORP,0000789019,10-Q,2023-01-24,000156459023000733,8,"Our increasing focus on cloud-based services presents execution and competitive risks.
 A growing part of our business involves cloud-based services available across the spectrum of computing devices. Our strategic vision is to compete and grow by building best-in-class platforms and productivity services for an intelligent cloud and an intelligent edge infused with artificial intelligence (“AI”). At the same time, our competitors are rapidly developing and deploying cloud-based services for consumers and business customers. Pricing and delivery models are evolving. Devices and form factors influence how users access services in the cloud and sometimes the user’s choice of which cloud-based services to use. We are devoting significant resources to develop and deploy our cloud-based strategies. The Windows ecosystem must continue to evolve with this changing environment. We embrace cultural and organizational changes to drive accountability and eliminate obstacles to innovation. Our intelligent cloud and intelligent edge worldview is connected with the growth of the Internet of Things (“IoT”), a network of distributed and interconnected devices employing sensors, data, and computing capabilities, including AI. Our success in the IoT will depend on the level of adoption of our offerings such as Azure, Azure Stack, Azure IoT Edge, and Azure Sphere. We may not establish market share sufficient to achieve scale necessary to meet our business objectives.",1,4,212,4.716981132075472,18.867924528301888,172,1,3,5.813953488372093,17.441860465116278,40,0,1,0.0,25.0,0.75,0.0,0.13332393765449524,0.012223186902701855,0.8544528484344482
MSFT,MICROSOFT CORP,0000789019,10-Q,2023-01-24,000156459023000733,9,"Besides software development costs, we are incurring costs to build and maintain infrastructure to support cloud computing services. These costs will reduce the operating margins we have previously achieved. Whether we succeed in cloud-based services depends on our execution in several areas, including:",0,1,43,0.0,23.25581395348837,43,0,1,0.0,23.25581395348837,0,0,0,0.0,0.0,1.0,0.0,0.1982170194387436,0.4237973392009735,0.3779856860637665
MSFT,MICROSOFT CORP,0000789019,10-Q,2023-01-24,000156459023000733,10,"It is uncertain whether our strategies will attract the users or generate the revenue required to succeed. If we are not effective in executing organizational and technical changes to increase efficiency and accelerate innovation, or if we fail to generate sufficient usage of our new products and services, we may not grow revenue in line with the infrastructure and development investments described above. This may negatively impact gross margins and operating income.",2,3,72,27.77777777777778,41.666666666666664,63,1,2,15.873015873015873,31.746031746031747,9,1,1,111.11111111111111,111.11111111111111,0.6666666666666666,0.0,0.039706289768218994,0.8352699875831604,0.125023752450943
MSFT,MICROSOFT CORP,0000789019,10-Q,2023-01-24,000156459023000733,11,"Some users may engage in fraudulent or abusive activities through our cloud-based services. These include unauthorized use of accounts through stolen credentials, use of stolen credit cards or other payment vehicles, failure to pay for services accessed, or other activities that violate our terms of service such as cryptocurrency mining or launching cyberattacks. If our efforts to detect such violations or our actions to control these types of fraud and abuse are not effective, we may experience adverse impacts to our revenue or incur reputational damage.",13,2,86,151.1627906976744,23.25581395348837,86,13,2,151.1627906976744,23.25581395348837,0,0,0,0.0,0.0,1.0,0.0,0.013699882663786411,0.8635745048522949,0.12272565066814423
MSFT,MICROSOFT CORP,0000789019,10-Q,2023-01-24,000156459023000733,12,RISKS RELATING TO THE EVOLUTION OF OUR BUSINESS,0,1,8,0.0,125.0,8,0,1,0.0,125.0,0,0,0,0.0,0.0,1.0,0.0,0.07569821178913116,0.02039199508726597,0.9039097428321838
MSFT,MICROSOFT CORP,0000789019,10-Q,2023-01-24,000156459023000733,13,"We make significant investments in products and services that may not achieve expected returns.
 We will continue to make significant investments in research, development, and marketing for existing products, services, and technologies, including the Windows operating system, Microsoft 365, Bing, SQL Server, Windows Server, Azure, Office 365, Xbox, LinkedIn, and other products and services. We also invest in the development and acquisition of a variety of hardware for productivity, communication, and entertainment, including PCs, tablets, gaming devices, and HoloLens. Investments in new technology are speculative. Commercial success depends on many factors, including innovativeness, developer support, and effective distribution and marketing. If customers do not perceive our latest offerings as providing significant new functionality or other value, they may reduce their purchases of new software and hardware products or upgrades, unfavorably affecting revenue. We may not achieve significant revenue from new product, service, and distribution channel investments for several years, if at all. New products and services may not be profitable, and even if they are profitable, operating margins for some new products and businesses will not be as high as the margins we have experienced historically. We may not get engagement in certain features, like Edge and Bing, that drive post-sale monetization opportunities. Our data handling practices across our products and services will continue to be under scrutiny. Perceptions of mismanagement, driven by regulatory activity or negative public reaction to our practices or product experiences, could negatively impact product and feature adoption, product design, and product quality.",5,8,244,20.491803278688526,32.78688524590164,223,5,6,22.42152466367713,26.905829596412556,21,0,2,0.0,95.23809523809524,0.8181818181818182,0.0,0.16395261883735657,0.09494656324386597,0.7411008477210999
MSFT,MICROSOFT CORP,0000789019,10-Q,2023-01-24,000156459023000733,14,Developing new technologies is complex. It can require long development and testing periods. Significant delays in new releases or significant problems in creating new products or services could adversely affect our revenue.,3,1,32,93.75,31.25,19,3,1,157.89473684210526,52.63157894736842,13,0,0,0.0,0.0,0.3333333333333333,0.0,0.012364358641207218,0.9094663262367249,0.07816928625106812
