feature,target,pearson_r,n
company_neg_per_1000,ar10d,-0.11367135717942127,20
company_sent_ratio_mean,ar10d,-0.06299517389988274,20
company_unc_per_1000,ar10d,-0.014444292918110349,20
external_neg_per_1000,ar10d,-0.03127804363375677,20
external_unc_per_1000,ar10d,-0.23402633540554063,20
finbert_neg_mean,ar10d,0.05370986641802516,20
finbert_neu_mean,ar10d,-0.18529894366514998,20
finbert_pos_mean,ar10d,0.1720238021161901,20
neg_per_1000,ar10d,-0.10164072043768191,20
unc_per_1000,ar10d,-0.02610207651491343,20
company_neg_per_1000,ar1d,0.22160823639435992,20
company_sent_ratio_mean,ar1d,0.10116951325200801,20
company_unc_per_1000,ar1d,0.14991631881737058,20
external_neg_per_1000,ar1d,0.20140583294920092,20
external_unc_per_1000,ar1d,0.13667739403635873,20
finbert_neg_mean,ar1d,0.1437643146157244,20
finbert_neu_mean,ar1d,-0.12762611954490324,20
finbert_pos_mean,ar1d,0.0581327525740635,20
neg_per_1000,ar1d,0.22369823322756946,20
unc_per_1000,ar1d,0.15652535155564737,20
company_neg_per_1000,ar20d,-0.04446683150033389,20
company_sent_ratio_mean,ar20d,0.08386062482526042,20
company_unc_per_1000,ar20d,0.08554811151024523,20
external_neg_per_1000,ar20d,-0.06129377799368935,20
external_unc_per_1000,ar20d,-0.09857732960150672,20
finbert_neg_mean,ar20d,0.15077123448395682,20
finbert_neu_mean,ar20d,0.0753471765706814,20
finbert_pos_mean,ar20d,-0.1675135477515698,20
neg_per_1000,ar20d,-0.04286497828011069,20
unc_per_1000,ar20d,0.08722184350043707,20
company_neg_per_1000,ar3d,0.15455129037702658,20
company_sent_ratio_mean,ar3d,0.2934563006912125,20
company_unc_per_1000,ar3d,0.22053404906734858,20
external_neg_per_1000,ar3d,0.30334581751922846,20
external_unc_per_1000,ar3d,0.3178719717721123,20
finbert_neg_mean,ar3d,0.002454734649653979,20
finbert_neu_mean,ar3d,0.1299180193937818,20
finbert_pos_mean,ar3d,-0.14328293030096395,20
neg_per_1000,ar3d,0.2077815503762474,20
unc_per_1000,ar3d,0.280289655685724,20
company_neg_per_1000,ar5d,0.12808325371126594,20
company_sent_ratio_mean,ar5d,0.2757283856026751,20
company_unc_per_1000,ar5d,0.28817411642850466,20
external_neg_per_1000,ar5d,0.29256768459885474,20
external_unc_per_1000,ar5d,0.1565691839869111,20
finbert_neg_mean,ar5d,0.03249335730198725,20
finbert_neu_mean,ar5d,0.10048913170980056,20
finbert_pos_mean,ar5d,-0.1281195783409736,20
neg_per_1000,ar5d,0.17653522152322068,20
unc_per_1000,ar5d,0.3142890102741474,20
company_neg_per_1000,r10d,-0.20529816323680294,20
company_sent_ratio_mean,r10d,-0.18310016530604217,20
company_unc_per_1000,r10d,-0.13674741476708868,20
external_neg_per_1000,r10d,-0.13521687260136162,20
external_unc_per_1000,r10d,-0.36735048186542146,20
finbert_neg_mean,r10d,0.10715070705317217,20
finbert_neu_mean,r10d,-0.2687762702541165,20
finbert_pos_mean,r10d,0.23299087131665033,20
neg_per_1000,r10d,-0.2003894732879457,20
unc_per_1000,r10d,-0.15388777467155704,20
company_neg_per_1000,r1d,0.21913710339943707,20
company_sent_ratio_mean,r1d,0.09085239208177363,20
company_unc_per_1000,r1d,0.1390143120041529,20
external_neg_per_1000,r1d,0.19510345555188582,20
external_unc_per_1000,r1d,0.12112960952601733,20
finbert_neg_mean,r1d,0.15253352260193198,20
finbert_neu_mean,r1d,-0.14436598297634962,20
finbert_pos_mean,r1d,0.07145930656709061,20
neg_per_1000,r1d,0.22111401197359465,20
unc_per_1000,r1d,0.14475952972634537,20
company_neg_per_1000,r20d,-0.11365562369091421,20
company_sent_ratio_mean,r20d,-0.032092232058045234,20
company_unc_per_1000,r20d,-0.010783162560308505,20
external_neg_per_1000,r20d,-0.16868298696888856,20
external_unc_per_1000,r20d,-0.23794770187845582,20
finbert_neg_mean,r20d,0.2308062579799299,20
finbert_neu_mean,r20d,-0.06434667765879032,20
finbert_pos_mean,r20d,-0.06017897543158027,20
neg_per_1000,r20d,-0.12760713026038542,20
unc_per_1000,r20d,-0.023759864908114405,20
company_neg_per_1000,r3d,0.11422375201862331,20
company_sent_ratio_mean,r3d,0.2448649757521783,20
company_unc_per_1000,r3d,0.16030280086048782,20
external_neg_per_1000,r3d,0.2463438161199705,20
external_unc_per_1000,r3d,0.3087465921876866,20
finbert_neg_mean,r3d,0.01906279408971679,20
finbert_neu_mean,r3d,0.115192536949523,20
finbert_pos_mean,r3d,-0.13658719696150706,20
neg_per_1000,r3d,0.16221131432882055,20
unc_per_1000,r3d,0.22324675759259952,20
company_neg_per_1000,r5d,0.08040724264912452,20
company_sent_ratio_mean,r5d,0.1747150527732357,20
company_unc_per_1000,r5d,0.18635080190091313,20
external_neg_per_1000,r5d,0.20636163016558107,20
external_unc_per_1000,r5d,0.11008323583867433,20
finbert_neg_mean,r5d,0.057885724568594366,20
finbert_neu_mean,r5d,0.04302598212513433,20
finbert_pos_mean,r5d,-0.07971123017473875,20
neg_per_1000,r5d,0.1183802862126564,20
unc_per_1000,r5d,0.21398855657441435,20
company_neg_per_1000,vol20d,0.16203801621464448,20
company_sent_ratio_mean,vol20d,0.06606293225510065,20
company_unc_per_1000,vol20d,0.07591139771236662,20
external_neg_per_1000,vol20d,0.17598299684622123,20
external_unc_per_1000,vol20d,-0.017399630390037404,20
finbert_neg_mean,vol20d,-0.21394471449159164,20
finbert_neu_mean,vol20d,-0.2684736604036408,20
finbert_pos_mean,vol20d,0.4141522065968587,20
neg_per_1000,vol20d,0.17289936019800967,20
unc_per_1000,vol20d,0.05494352215435889,20
company_neg_per_1000,vol5d,0.3484693895439632,20
company_sent_ratio_mean,vol5d,0.14556807420997278,20
company_unc_per_1000,vol5d,0.2442093583184397,20
external_neg_per_1000,vol5d,0.18102612316294786,20
external_unc_per_1000,vol5d,0.02008879919723672,20
finbert_neg_mean,vol5d,-0.12793810057005625,20
finbert_neu_mean,vol5d,-0.2715372546566519,20
finbert_pos_mean,vol5d,0.3688849457469379,20
neg_per_1000,vol5d,0.31719528596491,20
unc_per_1000,vol5d,0.1907929414809555,20
