feature,target,top_minus_bottom_mean,n_low,n_high
company_neg_per_1000,ar3d,0.057748517051174494,4,4
company_neg_per_1000,ar5d,0.06699909300892126,4,4
company_neg_per_1000,vol20d,0.006292502366714976,4,4
company_unc_per_1000,ar3d,0.060967178122177876,4,4
company_unc_per_1000,ar5d,0.07260893393584501,4,4
company_unc_per_1000,vol20d,-0.004265021853532773,4,4
neg_per_1000,ar3d,0.06718221562500135,4,4
neg_per_1000,ar5d,0.08879228310225735,4,4
neg_per_1000,vol20d,0.00019057627675357625,4,4
external_neg_per_1000,ar3d,0.07559524394815706,4,4
external_neg_per_1000,ar5d,0.06894492569263826,4,4
external_neg_per_1000,vol20d,-0.0005245210253028709,4,4
