feature,target,pearson_r,n
company_neg_per_1000,ar10d,-0.029422193246403307,19
company_sent_ratio_mean,ar10d,0.34833437671089273,19
company_unc_per_1000,ar10d,0.24156814734106413,19
external_neg_per_1000,ar10d,0.05471433578373195,19
external_unc_per_1000,ar10d,-0.09183183922694023,19
finbert_neg_mean,ar10d,-0.3536527321606389,19
finbert_neu_mean,ar10d,0.24152206539609006,19
finbert_pos_mean,ar10d,-0.18748321345967742,19
neg_per_1000,ar10d,0.0046311835373358005,19
unc_per_1000,ar10d,0.2255961058520202,19
company_neg_per_1000,ar1d,-0.2588238129886412,19
company_sent_ratio_mean,ar1d,0.18263448991582942,19
company_unc_per_1000,ar1d,0.325401148696541,19
external_neg_per_1000,ar1d,-0.18049234706612938,19
external_unc_per_1000,ar1d,-0.25053275149810306,19
finbert_neg_mean,ar1d,-0.4180545189927009,19
finbert_neu_mean,ar1d,-0.1665523412541219,19
finbert_pos_mean,ar1d,0.21546441063696284,19
neg_per_1000,ar1d,-0.2586229569246511,19
unc_per_1000,ar1d,0.3586375363491583,19
company_neg_per_1000,ar20d,-0.22792447516938483,18
company_sent_ratio_mean,ar20d,0.3806529277149975,18
company_unc_per_1000,ar20d,0.3636778707039355,18
external_neg_per_1000,ar20d,-0.05463561939651429,18
external_unc_per_1000,ar20d,-0.39226528722162907,18
finbert_neg_mean,ar20d,-0.45221269827603416,18
finbert_neu_mean,ar20d,-0.030291599706855906,18
finbert_pos_mean,ar20d,0.08944245532444689,18
neg_per_1000,ar20d,-0.2184248841608541,18
unc_per_1000,ar20d,0.3590211738931974,18
company_neg_per_1000,ar3d,-0.0755504691717658,19
company_sent_ratio_mean,ar3d,0.18103941062756349,19
company_unc_per_1000,ar3d,0.1462515052684919,19
external_neg_per_1000,ar3d,0.13807719413959404,19
external_unc_per_1000,ar3d,-0.13455261608479296,19
finbert_neg_mean,ar3d,-0.26751112278422934,19
finbert_neu_mean,ar3d,0.002407087309530774,19
finbert_pos_mean,ar3d,0.03249988767024924,19
neg_per_1000,ar3d,-0.047371614692674084,19
unc_per_1000,ar3d,0.17224944249016472,19
company_neg_per_1000,ar5d,0.11839216375104597,19
company_sent_ratio_mean,ar5d,0.2059001790899286,19
company_unc_per_1000,ar5d,0.003677569626590961,19
external_neg_per_1000,ar5d,0.2367489418116354,19
external_unc_per_1000,ar5d,0.026748156495633828,19
finbert_neg_mean,ar5d,-0.03321284886268466,19
finbert_neu_mean,ar5d,0.3166239577922594,19
finbert_pos_mean,ar5d,-0.30181668647718796,19
neg_per_1000,ar5d,0.14396889745469488,19
unc_per_1000,ar5d,-0.0019683207865321007,19
company_neg_per_1000,r10d,-0.0443468710266636,19
company_sent_ratio_mean,r10d,0.3010931271786936,19
company_unc_per_1000,r10d,0.2231300144481727,19
external_neg_per_1000,r10d,0.06346736771277646,19
external_unc_per_1000,r10d,-0.12604622428282233,19
finbert_neg_mean,r10d,-0.341348996801788,19
finbert_neu_mean,r10d,0.12043202422669813,19
finbert_pos_mean,r10d,-0.07200425049370968,19
neg_per_1000,r10d,-0.0158981988273461,19
unc_per_1000,r10d,0.21150337559039356,19
company_neg_per_1000,r1d,-0.21727547699872904,19
company_sent_ratio_mean,r1d,0.108268520361274,19
company_unc_per_1000,r1d,0.2275154967564158,19
external_neg_per_1000,r1d,-0.06014379258928801,19
