feature,target,top_minus_bottom_mean,n_low,n_high
company_neg_per_1000,ar3d,0.011403817778511273,8,4
company_neg_per_1000,ar5d,0.010708432239646537,8,4
company_neg_per_1000,vol20d,-0.00533276561364901,7,4
company_unc_per_1000,ar3d,0.018303864687247817,4,6
company_unc_per_1000,ar5d,-0.02255244816305263,4,6
company_unc_per_1000,vol20d,-0.003712962395236434,4,6
neg_per_1000,ar3d,-0.0016429835854564617,5,4
neg_per_1000,ar5d,0.009231418342988173,5,4
neg_per_1000,vol20d,-0.010580901455891953,5,4
external_neg_per_1000,ar3d,-0.014827372923253122,6,4
external_neg_per_1000,ar5d,0.01346805288071943,6,4
external_neg_per_1000,vol20d,0.00404006756098136,6,4
