feature,target,sign,n_support,tickers,n_corr_support,max_abs_r,score
external_neg_per_1000,ar20d,1,3,"AAPL,MSFT,NVDA",1,0.4969362499155405,7
unc_per_1000,ar20d,1,2,"MSFT,NVDA",2,0.6773550633989507,6
external_unc_per_1000,ar20d,-1,2,"MSFT,NVDA",2,0.5676917250653818,6
neg_per_1000,ar5d,-1,2,"AAPL,NVDA",2,0.4653348671415516,6
finbert_neg_mean,ar20d,-1,2,"AAPL,MSFT",2,0.4522126982760341,6
neg_per_1000,r5d,-1,2,"AAPL,NVDA",2,0.3998567339874149,6
finbert_neg_mean,r10d,-1,2,"AAPL,MSFT",2,0.3541929634276847,6
company_unc_per_1000,ar20d,-1,2,"MSFT,NVDA",1,0.6797135445416583,5
company_sent_ratio_mean,r5d,-1,2,"MSFT,NVDA",1,0.6316879335487622,5
company_sent_ratio_mean,ar20d,-1,2,"MSFT,NVDA",1,0.61279393617649,5
external_neg_per_1000,r10d,1,2,"AAPL,MSFT",1,0.5395396761085938,5
external_neg_per_1000,r20d,1,2,"AAPL,NVDA",1,0.5328286167992321,5
neg_per_1000,r20d,-1,2,"AAPL,NVDA",1,0.5240664902773126,5
finbert_pos_mean,ar5d,1,2,"AAPL,NVDA",1,0.5089434648644999,5
finbert_neu_mean,ar5d,1,2,"AAPL,NVDA",1,0.3764965740722905,5
neg_per_1000,r10d,-1,2,"AAPL,MSFT",1,0.3700000429743424,5
unc_per_1000,ar5d,1,1,NVDA,3,0.6614048784466426,5
neg_per_1000,ar3d,-1,1,AAPL,3,0.4547380953619319,5
company_sent_ratio_mean,vol20d,-1,1,AAPL,3,0.4323893788694519,5
company_neg_per_1000,ar5d,1,2,"AAPL,NVDA",0,0.5401745549253263,4
company_neg_per_1000,r20d,1,2,"AAPL,NVDA",0,0.5161374332827307,4
company_neg_per_1000,r5d,1,2,"AAPL,NVDA",0,0.4727620037406141,4
external_neg_per_1000,ar5d,1,2,"AAPL,NVDA",0,0.376720308431505,4
external_neg_per_1000,r5d,1,2,"AAPL,NVDA",0,0.273879167106547,4
finbert_neg_mean,ar5d,1,2,"AAPL,NVDA",0,0.1484144225408363,4
unc_per_1000,ar3d,1,1,NVDA,2,0.6074998986891909,4
company_sent_ratio_mean,ar10d,1,1,AAPL,2,0.5899977300630912,4
neg_per_1000,ar20d,-1,1,AAPL,2,0.5660712349368228,4
external_unc_per_1000,r20d,-1,1,NVDA,2,0.563596905187147,4
finbert_pos_mean,r10d,-1,1,AAPL,2,0.5272313670935329,4
external_unc_per_1000,ar3d,1,1,AAPL,2,0.5269664867326695,4
unc_per_1000,r20d,1,1,NVDA,2,0.4868630617635438,4
finbert_pos_mean,r5d,1,1,AAPL,2,0.4188016465466591,4
neg_per_1000,ar10d,-1,1,AAPL,2,0.3393205870958429,4
finbert_neu_mean,ar10d,-1,1,AAPL,2,0.3183826825077352,4
neg_per_1000,vol20d,1,1,NVDA,1,0.6850956041042547,3
company_unc_per_1000,ar10d,1,1,AAPL,1,0.6641287324892288,3
external_unc_per_1000,ar5d,-1,1,NVDA,1,0.6454562303469165,3
company_unc_per_1000,ar5d,-1,1,NVDA,1,0.62063593258714,3
unc_per_1000,r10d,-1,1,AAPL,1,0.5990242450872091,3
company_unc_per_1000,r10d,1,1,AAPL,1,0.5895949267044078,3
finbert_neu_mean,ar20d,-1,1,AAPL,1,0.5824777193877558,3
unc_per_1000,r5d,1,1,NVDA,1,0.5668283156892768,3
external_unc_per_1000,r5d,-1,1,NVDA,1,0.5637958803973155,3
external_unc_per_1000,r10d,1,1,AAPL,1,0.5632463530547676,3
company_sent_ratio_mean,r10d,-1,1,MSFT,1,0.559309407928908,3
external_unc_per_1000,ar10d,-1,1,NVDA,1,0.5545017977492334,3
company_unc_per_1000,r5d,-1,1,NVDA,1,0.5252704490817559,3
company_sent_ratio_mean,r20d,-1,1,NVDA,1,0.4882008155306149,3
finbert_neu_mean,r10d,-1,1,AAPL,1,0.4575199635913071,3
company_unc_per_1000,vol20d,-1,1,AAPL,1,0.4313233532257593,3
finbert_pos_mean,vol20d,1,1,AAPL,1,0.4141522065968587,3
finbert_neg_mean,vol20d,1,1,AAPL,1,0.389669402751793,3
external_neg_per_1000,ar10d,1,1,AAPL,1,0.3811816737090905,3
finbert_neg_mean,ar10d,-1,1,AAPL,1,0.3536527321606389,3
external_neg_per_1000,ar3d,1,1,AAPL,1,0.3226408997555473,3
unc_per_1000,ar10d,-1,1,AAPL,0,0.6764370119209329,2
company_sent_ratio_mean,ar5d,-1,1,NVDA,0,0.6647421120852756,2
finbert_pos_mean,ar20d,-1,1,AAPL,0,0.5950640580909016,2
company_neg_per_1000,ar20d,1,1,AAPL,0,0.5516484807083936,2
company_unc_per_1000,r20d,-1,1,NVDA,0,0.4873016548357973,2
external_unc_per_1000,vol20d,-1,1,AAPL,0,0.4863194300719787,2
finbert_pos_mean,ar10d,-1,1,AAPL,0,0.448066196724785,2
company_sent_ratio_mean,ar3d,-1,1,MSFT,0,0.4463201690217233,2
company_neg_per_1000,ar3d,1,1,AAPL,0,0.4447714925191352,2
unc_per_1000,vol20d,1,1,AAPL,0,0.4215792524796591,2
company_neg_per_1000,ar10d,1,1,AAPL,0,0.385625378347113,2
finbert_neu_mean,r5d,1,1,AAPL,0,0.3443688587391931,2
company_neg_per_1000,r10d,1,1,MSFT,0,0.2820725785512347,2
finbert_neu_mean,vol20d,1,1,AAPL,0,0.2684736604036408,2
external_neg_per_1000,vol20d,-1,1,NVDA,0,0.1759829968462212,2
finbert_neg_mean,r5d,1,1,AAPL,0,0.1582800993418502,2
